Qt,QtQuick,Controls,Layouts,Dialogs,Window,Graphical Effects
Qt5.0.x,import QtQuick 2.0,,,,,
Qt5.1.x,import QtQuick 2.1,import QtQuick.Controls 1.0,import QtQuick.Layouts 1.0,import QtQuick.Dialogs 1.0,,
Qt5.2.x,import QtQuick 2.2,import QtQuick.Controls 1.1,import QtQuick.Layouts 1.1,import QtQuick.Dialogs 1.1,,
Qt5.3.x,import QtQuick 2.3,import QtQuick.Controls 1.2,import QtQuick.Layouts 1.1,import QtQuick.Dialogs 1.2,,
Qt5.4.x,import QtQuick 2.4,import QtQuick.Controls 1.3,import QtQuick.Layouts 1.1,import QtQuick.Dialogs 1.2,,
Qt5.5.x,import QtQuick 2.5,import QtQuick.Controls 1.4,import QtQuick.Layouts 1.2,import QtQuick.Dialogs 1.2,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.6.x,import QtQuick 2.6,import QtQuick.Controls 1.5,import QtQuick.Layouts 1.3,import QtQuick.Dialogs 1.2,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.7.x,import QtQuick 2.7,import QtQuick.Controls 2.0,import QtQuick.Layouts 1.3,import QtQuick.Dialogs 1.2,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.8.x,import QtQuick 2.8,import QtQuick.Controls 2.1,import QtQuick.Layouts 1.3,import QtQuick.Dialogs 1.2,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.9.x,import QtQuick 2.9,import QtQuick.Controls 2.2,import QtQuick.Layouts 1.3,import QtQuick.Dialogs 1.2,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.10.x,import QtQuick 2.10,import QtQuick.Controls 2.3,import QtQuick.Layouts 1.3,import QtQuick.Dialogs 1.3,import QtQuick.Window 2.2,import QtGraphicalEffects 1.0
Qt5.11.x,import QtQuick 2.11,import QtQuick.Controls 2.4,import QtQuick.Layouts 1.11,import QtQuick.Dialogs 1.3,import QtQuick.Window 2.11,import QtGraphicalEffects 1.0
Qt5.12.x,import QtQuick 2.12,import QtQuick.Controls 2.12,import QtQuick.Layouts 1.12,import QtQuick.Dialogs 1.3,import QtQuick.Window 2.12,import QtGraphicalEffects 1.12
Qt5.13.x,import QtQuick 2.13,import QtQuick.Controls 2.13,import QtQuick.Layouts 1.13,import QtQuick.Dialogs 1.3,import QtQuick.Window 2.13,import QtGraphicalEffects 1.13
